date,state_mx,source,landing_page,dropoff_page,device,browser,sessions,bounce_rate,avg_duration_sec
2026-04-02,Ciudad de México,Organic,/blog,/contacto,Mobile,Safari,430,0.611,221
2026-04-03,Ciudad de México,CPC,/servicios,/nosotros,Mobile,Safari,250,0.597,124
2026-04-03,Ciudad de México,Direct,/blog,/nosotros,Mobile,Safari,292,0.586,245
2026-04-03,Jalisco,Social,/nosotros,/exit,Mobile,Chrome,100,0.702,146
2026-04-03,Querétaro,Organic,/contacto,/nosotros,Mobile,Safari,87,0.478,128
2026-04-03,Puebla,CPC,/servicios,/exit,Mobile,Firefox,49,0.659,147
2026-04-03,Morelos,CPC,/contacto,/servicios,Desktop,Chrome,16,0.417,151
2026-04-03,Puebla,Direct,/nosotros,/servicios,Desktop,Edge,74,0.268,190
2026-04-03,Veracruz,Organic,/contacto,/exit,Mobile,Chrome,28,0.439,121
2026-04-03,Nuevo León,Direct,/nosotros,/contacto,Mobile,Edge,138,0.476,133
2026-04-03,Querétaro,Organic,/blog,/nosotros,Mobile,Chrome,85,0.683,215
2026-04-03,Puebla,Social,/contacto,/nosotros,Mobile,Chrome,46,0.544,135
2026-04-03,Tamaulipas,Organic,/nosotros,/home,Desktop,Chrome,23,0.505,135
2026-04-03,Nuevo León,Social,/servicios,/contacto,Mobile,Chrome,106,0.725,146
2026-04-03,Puebla,CPC,/servicios,/exit,Mobile,Chrome,63,0.588,129
2026-04-03,Ciudad de México,CPC,/blog,/nosotros,Desktop,Chrome,278,0.546,242
2026-04-03,Ciudad de México,Email,/nosotros,/home,Mobile,Edge,344,0.573,122
2026-04-03,San Luis Potosí,Organic,/home,/exit,Mobile,Chrome,13,0.539,120
2026-04-03,Ciudad de México,Social,/contacto,/exit,Desktop,Chrome,378,0.493,143
2026-04-04,Veracruz,CPC,/servicios,/home,Desktop,Chrome,16,0.579,192
2026-04-04,Coahuila,CPC,/home,/nosotros,Mobile,Opera,15,0.716,126
2026-04-04,Ciudad de México,CPC,/blog,/exit,Mobile,Chrome,259,0.665,192
2026-04-04,Aguascalientes,Organic,/nosotros,/contacto,Desktop,Chrome,9,0.414,182
2026-04-04,Tamaulipas,Organic,/contacto,/exit,Mobile,Safari,10,0.456,141
2026-04-04,Nuevo León,CPC,/contacto,/exit,Mobile,Chrome,63,0.548,114
2026-04-04,Ciudad de México,CPC,/nosotros,/exit,Desktop,Chrome,213,0.54,152
2026-04-04,Puebla,Organic,/contacto,/blog,Desktop,Chrome,54,0.322,195
2026-04-04,Ciudad de México,Organic,/home,/exit,Mobile,Chrome,275,0.599,168
2026-04-04,Ciudad de México,CPC,/home,/exit,Desktop,Chrome,192,0.514,148
2026-04-04,Estado de México,Organic,/servicios,/exit,Tablet,Chrome,77,0.526,181
2026-04-04,Nuevo León,CPC,/nosotros,/home,Mobile,Chrome,60,0.713,126
2026-04-04,Ciudad de México,Organic,/servicios,/home,Desktop,Chrome,252,0.438,181
2026-04-04,Chihuahua,Organic,/contacto,/exit,Desktop,Chrome,13,0.392,166
2026-04-04,Ciudad de México,Social,/home,/servicios,Mobile,Chrome,209,0.671,128
2026-04-04,Puebla,Social,/blog,/exit,Mobile,Safari,40,0.714,190
2026-04-05,Ciudad de México,Organic,/blog,/exit,Mobile,Chrome,260,0.608,213
2026-04-05,Jalisco,CPC,/nosotros,/home,Mobile,Chrome,69,0.643,91
2026-04-05,Ciudad de México,Organic,/contacto,/exit,Desktop,Edge,283,0.285,156
2026-04-05,Ciudad de México,CPC,/contacto,/nosotros,Mobile,Chrome,256,0.53,118
2026-04-05,Jalisco,Organic,/nosotros,/blog,Mobile,Chrome,122,0.591,142
2026-04-05,Ciudad de México,Organic,/home,/exit,Desktop,Edge,225,0.487,177
2026-04-05,Querétaro,CPC,/blog,/exit,Mobile,Chrome,61,0.782,166
2026-04-05,Ciudad de México,Social,/blog,/contacto,Desktop,Safari,222,0.645,244
2026-04-05,Ciudad de México,Direct,/blog,/contacto,Desktop,Chrome,191,0.457,248
2026-04-05,Estado de México,CPC,/servicios,/exit,Desktop,Chrome,62,0.463,200
2026-04-05,Ciudad de México,Organic,/contacto,/exit,Desktop,Edge,215,0.306,177
2026-04-05,Jalisco,Social,/servicios,/exit,Mobile,Firefox,80,0.689,174
2026-04-05,Ciudad de México,Social,/nosotros,/exit,Desktop,Safari,254,0.526,145
2026-04-05,Nuevo León,CPC,/nosotros,/home,Desktop,Edge,93,0.501,127
2026-04-05,Querétaro,Organic,/blog,/exit,Mobile,Firefox,40,0.718,177
2026-04-05,Coahuila,CPC,/nosotros,/exit,Mobile,Safari,8,0.657,142
2026-04-05,Jalisco,Organic,/home,/contacto,Mobile,Firefox,100,0.655,149
2026-04-05,Jalisco,CPC,/contacto,/exit,Mobile,Chrome,73,0.669,132
2026-04-05,Querétaro,Organic,/nosotros,/exit,Desktop,Chrome,41,0.475,158
2026-04-05,Jalisco,CPC,/contacto,/blog,Mobile,Firefox,119,0.539,119
2026-04-05,Tabasco,Direct,/blog,/exit,Mobile,Chrome,10,0.653,225
2026-04-06,Ciudad de México,CPC,/home,/exit,Desktop,Safari,385,0.516,132
2026-04-06,Quintana Roo,Organic,/servicios,/exit,Mobile,Chrome,40,0.55,186
2026-04-06,Estado de México,Social,/nosotros,/servicios,Mobile,Chrome,88,0.714,103
2026-04-06,Nuevo León,Organic,/nosotros,/exit,Mobile,Edge,106,0.589,121
2026-04-06,Ciudad de México,Social,/nosotros,/exit,Mobile,Safari,398,0.722,125
2026-04-06,Ciudad de México,Organic,/blog,/exit,Mobile,Safari,401,0.688,213
2026-04-06,Ciudad de México,Direct,/servicios,/exit,Desktop,Edge,366,0.366,205
2026-04-06,Nuevo León,Organic,/nosotros,/home,Tablet,Chrome,104,0.516,185
2026-04-06,Puebla,Social,/servicios,/exit,Tablet,Chrome,68,0.502,145
2026-04-06,Ciudad de México,Social,/servicios,/exit,Mobile,Chrome,256,0.547,129
2026-04-06,Jalisco,CPC,/nosotros,/home,Mobile,Chrome,115,0.693,120
2026-04-06,Morelos,Social,/contacto,/servicios,Mobile,Safari,8,0.597,124
2026-04-06,Chihuahua,Organic,/servicios,/contacto,Desktop,Chrome,25,0.424,195
2026-04-06,Ciudad de México,Social,/servicios,/blog,Mobile,Chrome,262,0.598,138
2026-04-06,Nuevo León,Social,/contacto,/servicios,Mobile,Chrome,132,0.587,139
2026-04-06,Ciudad de México,Email,/home,/contacto,Desktop,Chrome,415,0.466,136
2026-04-06,Ciudad de México,Organic,/blog,/nosotros,Desktop,Chrome,355,0.455,242
2026-04-06,Ciudad de México,Social,/contacto,/exit,Desktop,Safari,281,0.509,133
2026-04-06,Baja California,CPC,/blog,/exit,Desktop,Chrome,31,0.578,191
2026-04-07,Baja California,Organic,/servicios,/exit,Mobile,Safari,41,0.501,158
2026-04-07,Nuevo León,Direct,/home,/exit,Tablet,Chrome,128,0.427,198
2026-04-07,Ciudad de México,CPC,/contacto,/blog,Desktop,Chrome,387,0.474,112
2026-04-07,Hidalgo,Social,/home,/exit,Desktop,Chrome,13,0.579,148
2026-04-07,Yucatán,Direct,/servicios,/exit,Mobile,Chrome,43,0.462,135
2026-04-07,Ciudad de México,CPC,/servicios,/nosotros,Mobile,Chrome,377,0.672,136
2026-04-07,Yucatán,Organic,/nosotros,/contacto,Mobile,Chrome,46,0.583,161
2026-04-07,Jalisco,Organic,/contacto,/exit,Desktop,Chrome,106,0.377,169
2026-04-07,Ciudad de México,Direct,/blog,/nosotros,Desktop,Safari,238,0.442,266
2026-04-07,Puebla,CPC,/home,/nosotros,Desktop,Safari,70,0.622,150
2026-04-07,Coahuila,CPC,/nosotros,/blog,Desktop,Safari,23,0.567,184
2026-04-07,Nuevo León,Social,/home,/blog,Mobile,Chrome,130,0.769,132
2026-04-07,Guanajuato,Organic,/home,/contacto,Desktop,Chrome,40,0.355,207
2026-04-07,Querétaro,Organic,/servicios,/exit,Mobile,Chrome,80,0.608,196
2026-04-07,Nuevo León,Social,/contacto,/exit,Desktop,Chrome,156,0.516,126
2026-04-07,Ciudad de México,Organic,/blog,/exit,Mobile,Chrome,303,0.64,223
2026-04-08,Jalisco,Organic,/home,/exit,Desktop,Firefox,147,0.321,148
2026-04-08,Guanajuato,Organic,/servicios,/blog,Desktop,Chrome,45,0.483,193
2026-04-08,Quintana Roo,Direct,/servicios,/home,Tablet,Chrome,43,0.312,209
2026-04-08,Jalisco,Direct,/contacto,/home,Mobile,Safari,156,0.42,158
2026-04-08,Puebla,Organic,/contacto,/exit,Desktop,Safari,52,0.397,162
2026-04-08,Querétaro,Social,/home,/nosotros,Mobile,Safari,67,0.709,90
2026-04-08,Baja California,Social,/nosotros,/contacto,Desktop,Chrome,25,0.555,156
2026-04-08,Tamaulipas,CPC,/home,/nosotros,Mobile,Chrome,32,0.662,81
2026-04-08,Sonora,Organic,/servicios,/exit,Mobile,Safari,17,0.612,141
2026-04-08,Quintana Roo,Organic,/servicios,/exit,Mobile,Chrome,41,0.574,181
2026-04-08,Aguascalientes,Social,/contacto,/exit,Desktop,Chrome,11,0.48,124
2026-04-08,Nuevo León,Organic,/blog,/home,Mobile,Chrome,119,0.638,202
2026-04-08,Baja California,Direct,/blog,/contacto,Mobile,Safari,38,0.652,242
2026-04-08,Quintana Roo,Direct,/nosotros,/contacto,Tablet,Chrome,27,0.372,188
2026-04-08,Tamaulipas,Direct,/servicios,/home,Desktop,Safari,33,0.321,204
2026-04-08,Puebla,CPC,/blog,/servicios,Mobile,Chrome,51,0.663,194
2026-04-09,Jalisco,Organic,/nosotros,/home,Mobile,Safari,176,0.563,138
2026-04-09,Estado de México,Organic,/contacto,/blog,Mobile,Chrome,110,0.489,133
2026-04-09,Hidalgo,Organic,/contacto,/exit,Mobile,Chrome,14,0.548,145
2026-04-09,Jalisco,Social,/servicios,/exit,Mobile,Chrome,156,0.711,155
2026-04-09,Jalisco,Social,/nosotros,/exit,Desktop,Safari,167,0.515,103
2026-04-09,Ciudad de México,Organic,/blog,/exit,Desktop,Edge,343,0.507,236
2026-04-09,Querétaro,Organic,/blog,/servicios,Desktop,Chrome,86,0.583,216
2026-04-09,Chihuahua,CPC,/nosotros,/blog,Tablet,Chrome,28,0.585,117
2026-04-09,Ciudad de México,CPC,/blog,/home,Desktop,Chrome,301,0.576,233
2026-04-09,Nuevo León,Social,/blog,/exit,Mobile,Chrome,111,0.833,192
2026-04-09,Jalisco,Social,/servicios,/exit,Desktop,Firefox,162,0.558,174
2026-04-09,Yucatán,CPC,/contacto,/servicios,Mobile,Chrome,47,0.521,137
2026-04-09,Estado de México,CPC,/servicios,/exit,Mobile,Chrome,75,0.601,143
2026-04-09,Estado de México,Organic,/contacto,/blog,Mobile,Chrome,137,0.508,149
2026-04-09,Ciudad de México,Organic,/blog,/exit,Desktop,Opera,382,0.418,225
2026-04-09,Coahuila,Social,/blog,/contacto,Desktop,Chrome,17,0.64,197
2026-04-09,Nuevo León,CPC,/contacto,/home,Desktop,Chrome,144,0.368,211
2026-04-10,Nuevo León,CPC,/servicios,/exit,Mobile,Chrome,133,0.591,148
2026-04-10,Ciudad de México,Social,/servicios,/nosotros,Desktop,Chrome,414,0.57,154
2026-04-10,Jalisco,Organic,/contacto,/exit,Tablet,Chrome,173,0.451,213
2026-04-10,Ciudad de México,CPC,/servicios,/contacto,Desktop,Chrome,350,0.467,149
2026-04-10,Querétaro,Direct,/home,/servicios,Desktop,Safari,91,0.28,160
2026-04-10,Nuevo León,Social,/blog,/exit,Mobile,Chrome,104,0.796,154
2026-04-10,Jalisco,Organic,/nosotros,/contacto,Mobile,Chrome,128,0.54,166
2026-04-10,Guanajuato,Direct,/blog,/contacto,Tablet,Chrome,35,0.431,253
2026-04-10,Ciudad de México,Organic,/contacto,/nosotros,Mobile,Chrome,427,0.545,101
2026-04-10,Guanajuato,Organic,/nosotros,/contacto,Mobile,Opera,38,0.612,150
2026-04-10,Nuevo León,Organic,/blog,/contacto,Desktop,Chrome,150,0.519,237
2026-04-10,Ciudad de México,Organic,/nosotros,/blog,Mobile,Chrome,319,0.592,161
2026-04-10,Ciudad de México,CPC,/contacto,/exit,Desktop,Chrome,256,0.37,165
2026-04-10,Jalisco,Direct,/contacto,/blog,Desktop,Chrome,100,0.289,197
2026-04-10,Nuevo León,CPC,/blog,/exit,Desktop,Chrome,108,0.682,208
2026-04-10,Jalisco,Organic,/contacto,/blog,Desktop,Chrome,172,0.348,178
2026-04-10,Nuevo León,Organic,/home,/contacto,Desktop,Edge,102,0.418,147
2026-04-10,Ciudad de México,CPC,/servicios,/exit,Desktop,Edge,281,0.53,191
2026-04-10,Nuevo León,CPC,/contacto,/exit,Mobile,Chrome,142,0.563,94
2026-04-10,Estado de México,Email,/servicios,/contacto,Mobile,Chrome,114,0.518,168
2026-04-10,Guanajuato,Social,/servicios,/exit,Desktop,Chrome,41,0.561,221
2026-04-11,Yucatán,Social,/nosotros,/blog,Desktop,Chrome,39,0.525,168
2026-04-11,Estado de México,Direct,/servicios,/nosotros,Mobile,Chrome,58,0.439,199
2026-04-11,Ciudad de México,CPC,/contacto,/exit,Mobile,Chrome,169,0.584,142
2026-04-11,Estado de México,Social,/nosotros,/home,Mobile,Chrome,77,0.815,104
2026-04-11,Ciudad de México,Social,/servicios,/exit,Desktop,Chrome,190,0.474,142
2026-04-11,Ciudad de México,CPC,/home,/exit,Mobile,Safari,173,0.662,113
2026-04-11,Baja California,Social,/blog,/exit,Mobile,Safari,13,0.811,173
2026-04-11,Nuevo León,Social,/servicios,/exit,Mobile,Edge,75,0.696,128
2026-04-11,Guanajuato,Social,/blog,/exit,Desktop,Chrome,31,0.674,242
2026-04-11,Chihuahua,Social,/home,/blog,Mobile,Chrome,13,0.685,114
2026-04-11,Jalisco,CPC,/contacto,/exit,Mobile,Chrome,67,0.574,109
2026-04-11,Ciudad de México,Organic,/blog,/exit,Mobile,Chrome,236,0.636,214
2026-04-11,San Luis Potosí,CPC,/blog,/contacto,Mobile,Opera,11,0.744,148
2026-04-11,Baja California,Social,/home,/contacto,Desktop,Chrome,24,0.597,156
2026-04-11,Ciudad de México,CPC,/servicios,/blog,Mobile,Chrome,267,0.675,151
2026-04-11,Estado de México,Organic,/nosotros,/servicios,Mobile,Safari,62,0.5,130
2026-04-11,Jalisco,Organic,/servicios,/exit,Mobile,Chrome,69,0.551,147
2026-04-11,Ciudad de México,Direct,/blog,/nosotros,Tablet,Chrome,255,0.396,277
2026-04-12,Sonora,Direct,/contacto,/servicios,Mobile,Safari,15,0.427,175
2026-04-12,Estado de México,Social,/home,/exit,Mobile,Chrome,72,0.637,123
2026-04-12,Ciudad de México,CPC,/home,/home,Mobile,Chrome,235,0.651,122
2026-04-12,Estado de México,CPC,/servicios,/exit,Desktop,Edge,65,0.429,166
2026-04-12,Yucatán,Organic,/contacto,/blog,Tablet,Chrome,34,0.418,207
2026-04-12,Morelos,CPC,/contacto,/exit,Mobile,Chrome,7,0.543,101
2026-04-12,Nuevo León,Email,/contacto,/blog,Tablet,Safari,72,0.4,156
2026-04-12,Estado de México,Organic,/servicios,/exit,Mobile,Edge,91,0.526,178
2026-04-12,Estado de México,CPC,/home,/exit,Mobile,Chrome,81,0.558,107
2026-04-12,Ciudad de México,CPC,/home,/blog,Desktop,Chrome,256,0.517,157
2026-04-12,Chihuahua,Organic,/servicios,/exit,Desktop,Chrome,15,0.496,184
2026-04-12,Puebla,CPC,/blog,/nosotros,Mobile,Chrome,40,0.723,196
2026-04-12,Sonora,CPC,/blog,/exit,Desktop,Safari,16,0.696,220
2026-04-12,Guanajuato,Organic,/nosotros,/blog,Desktop,Chrome,24,0.361,193
2026-04-12,Nuevo León,Social,/nosotros,/exit,Desktop,Chrome,87,0.461,152
2026-04-12,Jalisco,Organic,/contacto,/exit,Mobile,Chrome,123,0.595,147
2026-04-12,Tamaulipas,Social,/servicios,/home,Desktop,Chrome,11,0.492,172
2026-04-12,Querétaro,Social,/nosotros,/home,Desktop,Chrome,49,0.601,147
2026-04-12,Ciudad de México,Email,/nosotros,/exit,Mobile,Safari,269,0.623,104
2026-04-13,Ciudad de México,CPC,/nosotros,/home,Desktop,Chrome,431,0.37,123
2026-04-13,Ciudad de México,Social,/home,/servicios,Desktop,Safari,315,0.47,149
2026-04-13,Puebla,Organic,/blog,/contacto,Desktop,Chrome,69,0.609,210
2026-04-13,Ciudad de México,Direct,/blog,/home,Desktop,Chrome,250,0.472,236
2026-04-13,Ciudad de México,Direct,/contacto,/servicios,Mobile,Firefox,402,0.438,148
2026-04-13,Estado de México,CPC,/contacto,/blog,Desktop,Safari,122,0.459,118
2026-04-13,Ciudad de México,Social,/servicios,/exit,Mobile,Chrome,305,0.724,140
2026-04-13,Querétaro,Social,/contacto,/exit,Mobile,Chrome,71,0.67,128
2026-04-13,Quintana Roo,Social,/servicios,/exit,Mobile,Chrome,29,0.78,166
2026-04-13,Nuevo León,Social,/nosotros,/contacto,Mobile,Chrome,125,0.697,120
2026-04-13,Estado de México,CPC,/home,/blog,Desktop,Edge,97,0.5,122
2026-04-13,Tabasco,Organic,/servicios,/servicios,Mobile,Safari,13,0.588,177
2026-04-13,Ciudad de México,Organic,/servicios,/exit,Desktop,Chrome,334,0.404,201
2026-04-13,Ciudad de México,CPC,/blog,/nosotros,Desktop,Chrome,320,0.579,233
2026-04-13,Puebla,CPC,/blog,/nosotros,Mobile,Chrome,70,0.825,174
2026-04-13,Jalisco,Organic,/contacto,/servicios,Desktop,Chrome,184,0.334,149
2026-04-13,San Luis Potosí,CPC,/blog,/exit,Desktop,Chrome,10,0.587,201
2026-04-14,Ciudad de México,Social,/home,/nosotros,Desktop,Safari,357,0.429,136
2026-04-14,Sonora,CPC,/contacto,/exit,Mobile,Firefox,26,0.589,89
2026-04-14,Jalisco,Social,/nosotros,/exit,Mobile,Opera,131,0.698,120
2026-04-14,Ciudad de México,Social,/servicios,/nosotros,Desktop,Safari,318,0.642,224
2026-04-14,Nuevo León,Organic,/servicios,/nosotros,Desktop,Chrome,107,0.384,196
2026-04-14,Ciudad de México,Social,/home,/exit,Mobile,Chrome,259,0.635,93
2026-04-14,Ciudad de México,Email,/servicios,/nosotros,Mobile,Chrome,324,0.576,161
2026-04-14,Ciudad de México,Social,/contacto,/exit,Mobile,Chrome,327,0.55,133
2026-04-14,Ciudad de México,Social,/home,/exit,Desktop,Chrome,344,0.515,163
2026-04-14,Ciudad de México,Direct,/contacto,/nosotros,Mobile,Chrome,311,0.344,183
2026-04-14,Querétaro,Social,/contacto,/contacto,Desktop,Chrome,80,0.502,155
2026-04-14,Ciudad de México,Social,/servicios,/exit,Mobile,Chrome,323,0.629,122
2026-04-14,Querétaro,Email,/servicios,/blog,Desktop,Chrome,82,0.512,140
2026-04-14,Nuevo León,Organic,/nosotros,/nosotros,Mobile,Chrome,122,0.549,141
2026-04-14,Ciudad de México,Social,/contacto,/blog,Mobile,Chrome,395,0.587,112
2026-04-14,Ciudad de México,Social,/home,/exit,Desktop,Chrome,323,0.563,144
2026-04-14,Baja California,Social,/nosotros,/blog,Mobile,Opera,40,0.532,136
2026-04-14,Yucatán,Organic,/blog,/exit,Desktop,Chrome,53,0.534,244
2026-04-15,Quintana Roo,Social,/contacto,/nosotros,Desktop,Chrome,32,0.46,159
2026-04-15,Coahuila,Email,/nosotros,/exit,Desktop,Chrome,29,0.422,136
2026-04-15,Ciudad de México,Organic,/nosotros,/contacto,Mobile,Edge,351,0.536,127
2026-04-15,Ciudad de México,Social,/blog,/exit,Desktop,Chrome,415,0.672,205
2026-04-15,Ciudad de México,Social,/nosotros,/exit,Desktop,Safari,372,0.554,128
2026-04-15,Aguascalientes,Social,/blog,/nosotros,Mobile,Chrome,15,0.795,143
2026-04-15,Yucatán,Organic,/home,/servicios,Desktop,Edge,61,0.281,185
2026-04-15,Nuevo León,Email,/blog,/servicios,Desktop,Edge,151,0.559,219
2026-04-15,Ciudad de México,Social,/blog,/exit,Desktop,Chrome,389,0.586,187
2026-04-15,Ciudad de México,CPC,/nosotros,/home,Mobile,Chrome,372,0.702,114
2026-04-15,Ciudad de México,Organic,/home,/servicios,Mobile,Safari,309,0.626,164
2026-04-15,Yucatán,Organic,/contacto,/contacto,Tablet,Chrome,49,0.336,181
2026-04-15,Querétaro,Organic,/servicios,/home,Mobile,Safari,51,0.528,159
2026-04-15,Aguascalientes,Organic,/home,/blog,Mobile,Chrome,12,0.584,113
2026-04-15,Baja California,Social,/contacto,/servicios,Mobile,Chrome,29,0.629,84
2026-04-15,Ciudad de México,CPC,/home,/contacto,Mobile,Chrome,433,0.674,111
2026-04-15,Coahuila,CPC,/nosotros,/exit,Mobile,Safari,23,0.643,113
2026-04-16,Ciudad de México,Organic,/contacto,/exit,Desktop,Chrome,322,0.414,181
2026-04-16,Querétaro,Organic,/servicios,/exit,Mobile,Chrome,58,0.515,184
2026-04-16,Baja California,Social,/servicios,/home,Mobile,Safari,29,0.731,160
2026-04-16,Ciudad de México,Social,/home,/exit,Desktop,Chrome,374,0.494,145
2026-04-16,Estado de México,Social,/blog,/exit,Mobile,Chrome,79,0.743,196
2026-04-16,Estado de México,Organic,/nosotros,/nosotros,Tablet,Chrome,101,0.499,162
2026-04-16,Ciudad de México,Social,/home,/blog,Desktop,Safari,333,0.545,143
2026-04-16,Ciudad de México,CPC,/home,/contacto,Desktop,Chrome,421,0.516,158
2026-04-16,Veracruz,Organic,/home,/contacto,Desktop,Chrome,27,0.44,191
2026-04-16,Ciudad de México,CPC,/blog,/nosotros,Desktop,Edge,342,0.572,221
2026-04-16,Yucatán,Social,/nosotros,/exit,Mobile,Chrome,59,0.682,102
2026-04-16,Ciudad de México,CPC,/home,/exit,Mobile,Chrome,237,0.697,91
2026-04-16,Ciudad de México,CPC,/home,/exit,Mobile,Chrome,263,0.744,137
2026-04-16,Chihuahua,CPC,/home,/contacto,Desktop,Chrome,26,0.568,156
2026-04-16,Nuevo León,Email,/blog,/exit,Mobile,Chrome,113,0.643,193
2026-04-16,Ciudad de México,Organic,/servicios,/home,Desktop,Chrome,326,0.378,210
2026-04-16,Aguascalientes,Organic,/home,/servicios,Mobile,Chrome,14,0.606,115
2026-04-17,Ciudad de México,Direct,/blog,/nosotros,Mobile,Safari,245,0.55,275
2026-04-17,Ciudad de México,CPC,/servicios,/home,Mobile,Safari,253,0.663,147
2026-04-17,Yucatán,Organic,/home,/exit,Mobile,Chrome,38,0.588,141
2026-04-17,Chihuahua,CPC,/blog,/home,Mobile,Edge,26,0.772,200
2026-04-17,Baja California,CPC,/servicios,/nosotros,Mobile,Safari,44,0.631,180
2026-04-17,Ciudad de México,CPC,/nosotros,/exit,Mobile,Chrome,328,0.645,125
2026-04-17,Ciudad de México,Direct,/contacto,/exit,Mobile,Chrome,435,0.314,159
2026-04-17,Jalisco,CPC,/home,/nosotros,Mobile,Chrome,119,0.794,135
2026-04-17,Estado de México,Social,/home,/blog,Tablet,Firefox,95,0.635,108
2026-04-17,Ciudad de México,Email,/nosotros,/blog,Mobile,Edge,402,0.6,137
2026-04-17,Quintana Roo,Social,/blog,/exit,Desktop,Chrome,36,0.677,182
2026-04-17,Hidalgo,CPC,/home,/blog,Mobile,Chrome,13,0.606,117
2026-04-17,Querétaro,Social,/blog,/home,Mobile,Chrome,54,0.785,146
2026-04-17,Coahuila,Email,/nosotros,/exit,Mobile,Firefox,22,0.589,123
2026-04-17,Tamaulipas,Social,/servicios,/exit,Tablet,Chrome,25,0.601,197
2026-04-17,Ciudad de México,Organic,/home,/exit,Desktop,Chrome,428,0.481,145
2026-04-18,Ciudad de México,CPC,/servicios,/exit,Desktop,Firefox,169,0.562,196
2026-04-18,Ciudad de México,Email,/home,/exit,Mobile,Edge,241,0.533,120
2026-04-18,Ciudad de México,Organic,/home,/servicios,Mobile,Chrome,212,0.672,133
2026-04-18,Nuevo León,CPC,/nosotros,/exit,Mobile,Chrome,80,0.66,121
2026-04-18,Baja California,Organic,/home,/nosotros,Mobile,Firefox,26,0.563,117
2026-04-18,Chihuahua,Organic,/nosotros,/exit,Desktop,Chrome,12,0.388,158
2026-04-18,Ciudad de México,Organic,/contacto,/exit,Tablet,Chrome,248,0.388,157
2026-04-18,Ciudad de México,CPC,/home,/nosotros,Mobile,Chrome,208,0.681,92
2026-04-18,Nuevo León,Organic,/home,/contacto,Mobile,Chrome,62,0.466,147
