match_id,fase,equipo_A,equipo_B,prob_A,prob_Empate,prob_B,prediccion_modelo,resultado_real,goles_A_real,goles_B_real,acierto_prediccion
J2-G-2,Fase de Grupos - Jornada 2,Egypt,New Zealand,0.4084,0.3468,0.2448,Egypt,Pendiente,,,
J2-H-1,Fase de Grupos - Jornada 2,Spain,Saudi Arabia,0.799,0.1745,0.0265,Spain,Pendiente,,,
J2-H-2,Fase de Grupos - Jornada 2,Cape Verde,Uruguay,0.3449,0.3858,0.2693,Empate,Pendiente,,,
J2-I-1,Fase de Grupos - Jornada 2,France,Iraq,0.6686,0.2607,0.0708,France,Pendiente,,,
J2-I-2,Fase de Grupos - Jornada 2,Senegal,Norway,0.3666,0.3629,0.2705,Senegal,Pendiente,,,
J2-J-1,Fase de Grupos - Jornada 2,Argentina,Austria,0.4179,0.3472,0.2349,Argentina,Pendiente,,,
J2-J-2,Fase de Grupos - Jornada 2,Algeria,Jordan,0.6873,0.2576,0.0551,Algeria,Pendiente,,,
J2-K-1,Fase de Grupos - Jornada 2,Portugal,Uzbekistan,0.7364,0.2213,0.0423,Portugal,Pendiente,,,
J2-K-2,Fase de Grupos - Jornada 2,DR Congo,Colombia,0.2751,0.3434,0.3815,Colombia,Pendiente,,,
J2-L-1,Fase de Grupos - Jornada 2,England,Ghana,0.8109,0.1645,0.0246,England,Pendiente,,,
J2-L-2,Fase de Grupos - Jornada 2,Croatia,Panama,0.3566,0.3644,0.2789,Empate,Pendiente,,,
J3-A-1,Fase de Grupos - Jornada 3,Mexico,Czechia,0.5214,0.3133,0.1653,Mexico,Pendiente,,,
J3-A-2,Fase de Grupos - Jornada 3,South Africa,South Korea,0.1286,0.3011,0.5703,South Korea,Pendiente,,,
J3-B-1,Fase de Grupos - Jornada 3,Canada,Switzerland,0.4381,0.3528,0.2091,Canada,Pendiente,,,
J3-B-2,Fase de Grupos - Jornada 3,Bosnia & Herzegovina,Qatar,0.4349,0.3361,0.229,Bosnia & Herzegovina,Pendiente,,,
J3-C-1,Fase de Grupos - Jornada 3,Brazil,Scotland,0.5674,0.2993,0.1332,Brazil,Pendiente,,,
J3-C-2,Fase de Grupos - Jornada 3,Morocco,Haiti,0.5919,0.2948,0.1133,Morocco,Pendiente,,,
J3-D-1,Fase de Grupos - Jornada 3,United States,Turkey,0.0318,0.179,0.7892,Turkey,Pendiente,,,
J3-D-2,Fase de Grupos - Jornada 3,Paraguay,Australia,0.2734,0.3686,0.358,Empate,Pendiente,,,
J3-E-1,Fase de Grupos - Jornada 3,Germany,Ecuador,0.5589,0.3205,0.1206,Germany,Pendiente,,,
J3-E-2,Fase de Grupos - Jornada 3,Curaçao,Ivory Coast,0.0667,0.2337,0.6996,Ivory Coast,Pendiente,,,
J3-F-1,Fase de Grupos - Jornada 3,Netherlands,Tunisia,0.5505,0.3235,0.1259,Netherlands,Pendiente,,,
J3-F-2,Fase de Grupos - Jornada 3,Japan,Sweden,0.7546,0.1934,0.0519,Japan,Pendiente,,,
J3-G-1,Fase de Grupos - Jornada 3,Belgium,New Zealand,0.5765,0.3135,0.11,Belgium,Pendiente,,,
J3-G-2,Fase de Grupos - Jornada 3,Egypt,Iran,0.3483,0.3514,0.3003,Empate,Pendiente,,,
J3-H-1,Fase de Grupos - Jornada 3,Spain,Uruguay,0.5705,0.3009,0.1285,Spain,Pendiente,,,
J3-H-2,Fase de Grupos - Jornada 3,Cape Verde,Saudi Arabia,0.6619,0.2753,0.0628,Cape Verde,Pendiente,,,
J3-I-1,Fase de Grupos - Jornada 3,France,Norway,0.6369,0.2835,0.0796,France,Pendiente,,,
J3-I-2,Fase de Grupos - Jornada 3,Senegal,Iraq,0.3438,0.3582,0.298,Empate,Pendiente,,,
J3-J-1,Fase de Grupos - Jornada 3,Argentina,Jordan,0.836,0.1463,0.0177,Argentina,Pendiente,,,
J3-J-2,Fase de Grupos - Jornada 3,Algeria,Austria,0.2989,0.3691,0.332,Empate,Pendiente,,,
J3-K-1,Fase de Grupos - Jornada 3,Portugal,Colombia,0.5084,0.3275,0.1641,Portugal,Pendiente,,,
J3-K-2,Fase de Grupos - Jornada 3,DR Congo,Uzbekistan,0.5085,0.3337,0.1579,DR Congo,Pendiente,,,
J3-L-1,Fase de Grupos - Jornada 3,England,Panama,0.6915,0.2386,0.0699,England,Pendiente,,,
J3-L-2,Fase de Grupos - Jornada 3,Croatia,Ghana,0.5449,0.3272,0.1279,Croatia,Pendiente,,,
