grupo,team_a,team_b,goals_a,assists_a,shots_total_a,xg_a,xa_a,tackles_a,interceptions_a,yellow_cards_a,red_cards_a,injury_days_missed_a,injuries_last_3seasons_a,passes_accuracy_pct_a,duels_won_pct_a,minutes_played_a,club_elo_rating_a,max_altitude_delta_m_a,min_altitude_delta_m_a,intl_caps_a,intl_goals_a,goals_b,assists_b,shots_total_b,xg_b,xa_b,tackles_b,interceptions_b,yellow_cards_b,red_cards_b,injury_days_missed_b,injuries_last_3seasons_b,passes_accuracy_pct_b,duels_won_pct_b,minutes_played_b,club_elo_rating_b,max_altitude_delta_m_b,min_altitude_delta_m_b,intl_caps_b,intl_goals_b,delta_goals,delta_assists,delta_shots_total,delta_xg,delta_xa,delta_tackles,delta_interceptions,delta_yellow_cards,delta_red_cards,delta_injury_days_missed,delta_injuries_last_3seasons,delta_passes_accuracy_pct,delta_duels_won_pct,delta_minutes_played,delta_club_elo_rating,delta_max_altitude_delta_m,delta_min_altitude_delta_m,delta_intl_caps,delta_intl_goals
J,Algeria,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,Austria,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,Portugal,DR Congo,12.0,0.0,0.0,0.0,0.0,17.0,9.0,6.0,0.0,0.0,0.0,11.901960784313726,0.0,106.37254901960785,0.0,2221.0,-16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,12.0,0.0,0.0,0.0,0.0,17.0,9.0,6.0,0.0,0.0,0.0,11.901960784313726,0.0,106.37254901960785,0.0,2221.0,-16.0,0.0,0.0
K,Portugal,Uzbekistan,12.0,0.0,0.0,0.0,0.0,17.0,9.0,6.0,0.0,0.0,0.0,11.901960784313726,0.0,106.37254901960785,0.0,2221.0,-16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,12.0,0.0,0.0,0.0,0.0,17.0,9.0,6.0,0.0,0.0,0.0,11.901960784313726,0.0,106.37254901960785,0.0,2221.0,-16.0,0.0,0.0
K,Portugal,Colombia,12.0,0.0,0.0,0.0,0.0,17.0,9.0,6.0,0.0,0.0,0.0,11.901960784313726,0.0,106.37254901960785,0.0,2221.0,-16.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,130.0,39.0,13.0,1.0,0.0,0.0,2.490566037735849,0.0,118.90566037735849,0.0,1554.0,-683.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,-113.0,-30.0,-7.0,-1.0,0.0,0.0,9.411394746577876,0.0,-12.533111357750641,0.0,667.0,667.0,0.0,0.0
K,DR Congo,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,DR Congo,Colombia,,,,,,,,,,,,,,,,,,,,12.0,9.0,0.0,0.0,0.0,130.0,39.0,13.0,1.0,0.0,0.0,2.490566037735849,0.0,118.90566037735849,0.0,1554.0,-683.0,0.0,0.0,-12.0,-9.0,0.0,0.0,0.0,-130.0,-39.0,-13.0,-1.0,0.0,0.0,-2.490566037735849,0.0,-118.90566037735849,0.0,-1554.0,683.0,0.0,0.0
K,Uzbekistan,Colombia,,,,,,,,,,,,,,,,,,,,12.0,9.0,0.0,0.0,0.0,130.0,39.0,13.0,1.0,0.0,0.0,2.490566037735849,0.0,118.90566037735849,0.0,1554.0,-683.0,0.0,0.0,-12.0,-9.0,0.0,0.0,0.0,-130.0,-39.0,-13.0,-1.0,0.0,0.0,-2.490566037735849,0.0,-118.90566037735849,0.0,-1554.0,683.0,0.0,0.0
L,England,Croatia,8.0,7.0,0.0,0.0,0.0,71.0,41.0,9.0,0.0,0.0,0.0,30.796610169491526,0.0,114.49152542372882,0.0,2227.0,-10.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,52.0,33.0,7.0,0.0,0.0,0.0,29.634146341463413,0.0,129.9268292682927,0.0,2114.0,-123.0,0.0,0.0,-3.0,5.0,0.0,0.0,0.0,19.0,8.0,2.0,0.0,0.0,0.0,1.1624638280281125,0.0,-15.435303844563876,0.0,113.0,113.0,0.0,0.0
L,England,Ghana,8.0,7.0,0.0,0.0,0.0,71.0,41.0,9.0,0.0,0.0,0.0,30.796610169491526,0.0,114.49152542372882,0.0,2227.0,-10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,8.0,7.0,0.0,0.0,0.0,71.0,41.0,9.0,0.0,0.0,0.0,30.796610169491526,0.0,114.49152542372882,0.0,2227.0,-10.0,0.0,0.0
L,England,Panama,8.0,7.0,0.0,0.0,0.0,71.0,41.0,9.0,0.0,0.0,0.0,30.796610169491526,0.0,114.49152542372882,0.0,2227.0,-10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,8.0,7.0,0.0,0.0,0.0,71.0,41.0,9.0,0.0,0.0,0.0,30.796610169491526,0.0,114.49152542372882,0.0,2227.0,-10.0,0.0,0.0
L,Croatia,Ghana,11.0,2.0,0.0,0.0,0.0,52.0,33.0,7.0,0.0,0.0,0.0,29.634146341463413,0.0,129.9268292682927,0.0,2114.0,-123.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,11.0,2.0,0.0,0.0,0.0,52.0,33.0,7.0,0.0,0.0,0.0,29.634146341463413,0.0,129.9268292682927,0.0,2114.0,-123.0,0.0,0.0
L,Croatia,Panama,11.0,2.0,0.0,0.0,0.0,52.0,33.0,7.0,0.0,0.0,0.0,29.634146341463413,0.0,129.9268292682927,0.0,2114.0,-123.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,11.0,2.0,0.0,0.0,0.0,52.0,33.0,7.0,0.0,0.0,0.0,29.634146341463413,0.0,129.9268292682927,0.0,2114.0,-123.0,0.0,0.0
L,Ghana,Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
